Year	Day	Month	temp
1998	19	8	16.6025
1998	20	8	17.091875
1998	21	8	16.53083333
1998	22	8	15.69520833
1998	23	8	14.30875
1998	24	8	15.016875
1998	25	8	14.355
1998	26	8	14.390625
1998	27	8	12.43854167
1998	28	8	12.61833333
1998	29	8	13.865625
1998	30	8	14.76854167
1998	31	8	14.21166667
1998	1	9	15.77479167
1998	2	9	17.435
1998	3	9	18.32333333
1998	4	9	17.01583333
1998	5	9	16.91020833
1998	6	9	16.70291667
1998	7	9	17.39395833
1998	8	9	16.30895833
1998	9	9	17.86104167
1998	10	9	17.86625
1998	11	9	14.68458333
1998	12	9	12.28270833
1998	13	9	9.258333333
1998	14	9	11.49625
1998	15	9	13.87354167
1998	16	9	13.96083333
1998	17	9	13.24166667
1998	18	9	14.12291667
1998	19	9	15.87875
1998	20	9	15.75041667
1998	21	9	14.8825
1998	22	9	14.00083333
1998	23	9	14.27770833
1998	24	9	15.936875
1998	25	9	18.19270833
1998	26	9	17.76125
1998	27	9	15.48083333
1998	28	9	15.11458333
1998	29	9	14.859375
1998	30	9	14.65604167
1998	1	10	14.429375
1998	2	10	8.22125
1998	3	10	5.045
1998	4	10	6.328333333
1998	5	10	8.236666667
1998	6	10	8.46875
1998	7	10	7.546458333
1998	8	10	8.451041667
1998	9	10	8.409375
1998	10	10	11.60979167
1998	11	10	11.65916667
1998	12	10	11.43479167
1998	13	10	10.45895833
1998	14	10	14.72458333
1998	15	10	11.45708333
1998	16	10	11.32583333
1998	17	10	14.21666667
1998	18	10	8.361041667
1998	19	10	5.677916667
1998	20	10	8.102708333
1998	21	10	12.153125
1998	22	10	15.35770833
1998	23	10	14.9175
1998	24	10	11.46416667
1998	25	10	11.42854167
1998	26	10	8.102916667
1998	27	10	10.94729167
1998	28	10	13.56791667
1998	29	10	10.16770833
1998	30	10	8.287083333
1998	31	10	7.782916667
1998	1	11	8.080416667
1998	2	11	6.472916667
1998	3	11	8.204791667
1998	4	11	6.664166667
1998	5	11	6.366666667
1998	6	11	9.04125
1998	7	11	5.907708333
1998	8	11	6.957708333
1998	9	11	13.20375
1998	10	11	10.01104167
1998	11	11	6.346458333
1998	12	11	4.774166667
1998	13	11	7.216875
1998	14	11	5.039583333
1998	15	11	5.975416667
1998	16	11	4.415625
1998	17	11	2.651041667
1998	18	11	2.056041667
1998	19	11	1.028541667
1998	20	11	-1.678333333
1998	21	11	-2.100416667
1998	22	11	-3.761875
1998	23	11	-5.046458333
1998	24	11	-3.744166667
1998	25	11	0.778333333
1998	26	11	3.301041667
1998	27	11	6.428125
1998	28	11	3.751666667
1998	29	11	3.745625
1998	30	11	1.176041667
1998	1	12	0.10625
1998	2	12	-2.167291667
1998	3	12	-1.279166667
1998	4	12	0.806041667
1998	5	12	0.951666667
1998	6	12	1.699375
1998	7	12	1.845833333
1998	8	12	0.140833333
1998	9	12	3.500833333
1998	10	12	3.953541667
1998	11	12	6.2675
1998	12	12	9.798333333
1998	13	12	10.03708333
1998	14	12	11.008125
1998	15	12	10.80520833
1998	16	12	6.917708333
1998	17	12	6.01125
1998	18	12	6.477083333
1998	19	12	6.965625
1998	20	12	3.415625
1998	21	12	2.360833333
1998	22	12	4.310416667
1998	23	12	5.575
1998	24	12	3.272708333
1998	25	12	7.810833333
1998	26	12	9.163958333
1998	27	12	10.21645833
1998	28	12	7.886458333
1998	29	12	5.172083333
1998	30	12	7.484583333
1998	31	12	8.680208333
1999	1	1	7.955531915
1999	2	1	6.71375
1999	3	1	5.571458333
1999	4	1	10.19708333
1999	5	1	12.09770833
1999	6	1	10.7125
1999	7	1	6.9
1999	8	1	5.639166667
1999	9	1	2.336041667
1999	10	1	-1.392083333
1999	11	1	-2.243333333
1999	12	1	-0.475833333
1999	13	1	3.320625
1999	14	1	5.701458333
1999	15	1	7.686875
1999	16	1	7.295416667
1999	17	1	5.171458333
1999	18	1	4.442083333
1999	19	1	7.952708333
1999	20	1	9.696875
1999	21	1	8.005208333
1999	22	1	4.228958333
1999	23	1	4.48125
1999	24	1	6.192708333
1999	25	1	10.24645833
1999	26	1	5.683125
1999	27	1	4.518125
1999	28	1	5.215
1999	29	1	-0.460416667
1999	30	1	-0.872083333
1999	31	1	2.172083333
1999	1	2	4.86625
1999	2	2	6.009791667
1999	3	2	6.23875
1999	4	2	8.872708333
1999	5	2	4.928125
1999	6	2	3.234791667
1999	7	2	0.948541667
1999	8	2	0.374583333
1999	9	2	-0.5
1999	10	2	0.103333333
1999	11	2	-0.05375
1999	12	2	-2.031666667
1999	13	2	-4.077291667
1999	14	2	-1.352291667
1999	15	2	0.560208333
1999	16	2	4.911875
1999	17	2	2.212083333
1999	18	2	3.782291667
1999	19	2	8.61375
1999	20	2	6.227916667
1999	21	2	5.632916667
1999	22	2	3.212708333
1999	23	2	3.429791667
1999	24	2	2.157708333
1999	25	2	3.375208333
1999	26	2	5.929166667
1999	27	2	5.584791667
1999	28	2	6.902916667
1999	1	3	9.114583333
1999	2	3	10.819375
1999	3	3	8.366041667
1999	4	3	6.739583333
1999	5	3	4.269583333
1999	6	3	3.676458333
1999	7	3	2.727916667
1999	8	3	3.88875
1999	9	3	4.238541667
1999	10	3	4.161875
1999	11	3	3.955
1999	12	3	10.20354167
1999	13	3	11.30729167
1999	14	3	7.524791667
1999	15	3	6.661458333
1999	16	3	7.523125
1999	17	3	7.970208333
1999	18	3	7.148541667
1999	19	3	5.766041667
1999	20	3	6.384583333
1999	21	3	5.723541667
1999	22	3	4.902916667
1999	23	3	7.754166667
1999	24	3	8.126458333
1999	25	3	9.545
1999	26	3	9.109791667
1999	27	3	6.712708333
1999	28	3	7.299583333
1999	29	3	9.706458333
1999	30	3	12.535625
1999	31	3	14.20604167
1999	1	4	14.244375
1999	2	4	13.19166667
1999	3	4	10.961875
1999	4	4	10.55354167
1999	5	4	12.86854167
1999	6	4	12.38104167
1999	7	4	9.188125
1999	8	4	8.7225
1999	9	4	10.225
1999	10	4	10.40270833
