treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMs,MAOMp,MAOM
exudates,64,0,1.421365571714661,3.3774781945089707,5.891967628425905,1.3688316655160493,0.8962429641522314,3.099340778113783,60.562988397174905,5184.291959188569,14179.858124291488,8287.644309581494,22467.50243387298
exudates,65,0,1.0794502159113335,2.911895377792013,5.838304995850554,1.3259561944460698,0.7709688208856883,2.9495468724692966,42.26988916733435,5157.540129339803,14165.431801152321,8286.685640857373,22452.117442009694
exudates,66,0,0.8453194132630635,2.466805588859047,5.787391774646423,1.2847331890160103,0.6417768313483522,2.7936943855977985,29.134626398669443,5139.327212520642,14155.287316130794,8286.037996286257,22441.32531241705
exudates,67,0,0.6866780771475729,2.068657034794918,5.7392586868336455,1.2450890261336012,0.5206933157241306,2.644744208678134,20.1592546131172,5126.929466559849,14148.08367372164,8285.60400386824,22433.687677589878
exudates,68,0,0.5795318422830016,1.728345052319449,5.693853365067248,1.2069510393858494,0.4141716327922329,2.5100174223881604,14.251724313286271,5118.348530523851,14142.822734591959,8285.310984613698,22428.133719205656
exudates,69,0,0.5070481317613752,1.4466345944022279,5.651072958636477,1.1702487359697797,0.3245170959362852,2.3925001787107694,10.46873505511116,5112.205037146257,14138.809391158691,8285.108246151798,22423.91763731049
exudates,70,10,9.635983380132696,2.007093195090518,5.608025247837565,1.1348338524902037,0.25209200292644507,2.2923565060633573,116.6513102412459,5037.474596333005,14099.783719356272,8282.350025268519,22382.133744624793
exudates,71,0,8.52895639810346,2.650731531488934,5.564033573322473,1.1006320528463158,0.4428880717917258,2.425993724569089,143.0409963894637,4946.088478023201,14051.662788025547,8278.914772567581,22330.577560593127
exudates,72,0,7.243510154674573,3.2977379008278076,5.518647796369798,1.067579800713279,0.6392585072215639,2.5827678007090236,161.78378558175845,4843.225510135601,13996.76685825432,8274.967504040605,22271.734362294927
exudates,73,0,5.889429289912456,3.837776597540952,5.471790626489695,1.0356270587045482,0.822856640333657,2.7404078859201273,167.0054806190268,4737.7198790210305,13939.477504141872,8270.827004088202,22210.304508230074
exudates,74,0,4.596429760316343,4.170626719065104,5.423796857682951,1.0047368845675018,0.9670907927127551,2.8682872274064017,156.9279490295623,4639.30717654637,13884.984799724638,8266.876404508837,22151.861204233475
exudates,75,0,3.4695639940081677,4.248047411585716,5.37530846390009,0.9748815217178768,1.0485588357590656,2.9387013662139205,134.9896654533733,4555.300183842857,13837.524441454498,8263.433320023778,22100.957761478276
exudates,76,0,2.561733132961906,4.087084391393255,5.327085365439185,0.9460369550197631,1.0579893675464398,2.938445439362302,107.56313982272695,4488.867327924756,13799.251521812314,8260.663827940187,22059.9153497525
exudates,77,0,1.8750084974558956,3.750888570309061,5.27983117270676,0.9181784981355119,1.0030788461088782,2.8724495425366756,80.57467761604755,4439.473364779715,13770.249759586572,8258.579829955019,22028.82958954159
exudates,78,0,1.3795363723495784,3.317176805823634,5.234093000320817,0.8912786313369216,0.9028142579331487,2.758411004371741,57.60782422607134,4404.432499563173,13749.269556625835,8257.092081577068,22006.361638202903
exudates,79,0,1.0337297693596335,2.854046235982705,5.190235850006623,0.8653067814620446,0.7789702094909904,2.618021502273159,39.884440924316365,4380.38897836737,13734.549322393053,8256.071192044863,21990.620514437916
exudates,80,0,0.7974659331212861,2.4094248285328943,5.148463015105913,0.8402301372285053,0.6499196897588722,2.470254231242568,27.123749311526492,4364.2236306496925,13724.37031275797,8255.38961511916,21979.75992787713
exudates,81,0,0.637898937307462,2.0108092697775364,5.1088541729049695,0.8160147419544121,0.5281747641172537,2.3284448682586754,18.395909544941652,4353.427034655567,13717.313002100927,8254.941444253313,21972.25444635424
exudates,82,0,0.5305525864353298,1.6697959101105666,5.071403902156115,0.7926264617074269,0.4205979982980737,2.200229764247949,12.656608525072532,4346.150804270368,13712.315459202993,8254.647209274608,21966.9626684776
exudates,83,0,0.4582379460953737,1.3875396623574883,5.036053283756743,0.7700316962857643,0.3297799634142137,2.0888131324127617,8.994349483457304,4341.115146908133,13708.63544538573,8254.451267279148,21963.086712664877
exudates,84,10,9.599914550695896,1.9321594799033037,5.000126556842751,0.748154759481269,0.25655585406519055,1.9944895297893366,107.79485472382599,4275.551350706134,13669.38348417234,8251.587121358218,21920.970605530558
exudates,85,0,8.507552662584244,2.562953434412168,4.962990860900012,0.7269581162709078,0.4384973331016755,2.1294631724253503,133.0917960150298,4194.885278169775,13620.629749820355,8247.996535171185,21868.62628499154
exudates,86,0,7.2341488499932485,3.203914877666734,4.924213304018562,0.7064094158183445,0.6292126445609825,2.2881826990605956,151.64653215406366,4103.495906755754,13564.59094269694,8243.840737536668,21808.431680233607
exudates,87,0,5.885874945167907,3.746508343658162,4.883708011242989,0.6864832153052098,0.8107784720159293,2.449445670947962,157.682289314548,4009.1680877004983,13505.683175604076,8239.449367830346,21745.13254343442
exudates,88,0,4.591744210736462,4.088856043719039,4.841786391359326,0.6671610891699692,0.9564516372260345,2.583128904925723,149.11541910441127,3920.7100072697203,13449.300426401795,8235.231353502159,21684.531779903955
exudates,89,0,3.4589202976143976,4.178646539391373,4.799066906539664,0.6484297258040272,1.0417462516842904,2.661067207379609,128.89058484830804,3844.907841256257,13399.970521212483,8231.535577870576,21631.50609908306
exudates,90,0,2.5433825999067783,4.028971936094866,4.756295567434894,0.6302779803963829,1.0557734127992011,2.6689245995845137,102.99665239374913,3784.8379610369825,13360.097359535106,8228.552329346194,21588.649688881298
